image_name, image_url, xmin, xmax, ymin, ymax
-K4k55AAmhTHLKN9ais4lg_zoom_5___1_4.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-K4k55AAmhTHLKN9ais4lg_zoom_5___1_4.jpg,817,860,491,566
0e-oy0WPjfWsBu1MWRHaFg_zoom_5___1_11.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0e-oy0WPjfWsBu1MWRHaFg_zoom_5___1_11.jpg,395,449,398,478
0TuobGMvb8yNC1fxtU2h-g_zoom_5___1_6.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0TuobGMvb8yNC1fxtU2h-g_zoom_5___1_6.jpg,9,49,235,276
-0W9BxSqIVY79ONBtUTXHQ_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-0W9BxSqIVY79ONBtUTXHQ_zoom_5___1_7.jpg,590,666,294,386
0d0rKPbBrqR_Yd6tURi-kA_zoom_5___1_0.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0d0rKPbBrqR_Yd6tURi-kA_zoom_5___1_0.jpg,870,956,384,476
00iMlQdBBDPTe5hyHPN82A_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/00iMlQdBBDPTe5hyHPN82A_zoom_5___1_7.jpg,702,777,336,417
0QBZF4IfZitUrqDItZpjYQ_zoom_5___1_0.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0QBZF4IfZitUrqDItZpjYQ_zoom_5___1_0.jpg,643,680,328,372
-t4ZdYtxkoghzDHeCjx49w_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-t4ZdYtxkoghzDHeCjx49w_zoom_5___1_7.jpg,88,139,291,349
0cgYh0zmo6LLJvT4S6OMoA_zoom_5___1_12.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0cgYh0zmo6LLJvT4S6OMoA_zoom_5___1_12.jpg,377,450,301,399
0cgYh0zmo6LLJvT4S6OMoA_zoom_5___1_12.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0cgYh0zmo6LLJvT4S6OMoA_zoom_5___1_12.jpg,377,458,212,293
-TcHPg28jVzFmdHJFJUl6w_zoom_5___1_8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-TcHPg28jVzFmdHJFJUl6w_zoom_5___1_8.jpg,171,356,232,550
-xl13MGGHJEqj2KniKYMwg_zoom_5___1_5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-xl13MGGHJEqj2KniKYMwg_zoom_5___1_5.jpg,243,331,353,450
1GePMBlYelnlWug1PrzEtQ_zoom_5___1_12.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/1GePMBlYelnlWug1PrzEtQ_zoom_5___1_12.jpg,689,739,257,313
-s-8pLc2KnYslk1lc9Exng_zoom_5___1_5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-s-8pLc2KnYslk1lc9Exng_zoom_5___1_5.jpg,388,446,336,416
1Gh79GxZ_NvvMthEFTe-hw_zoom_5___1_4.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/1Gh79GxZ_NvvMthEFTe-hw_zoom_5___1_4.jpg,693,907,233,542
018hNqFws5jBWVhGjGHopQ_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/018hNqFws5jBWVhGjGHopQ_zoom_5___1_7.jpg,353,414,259,327
018hNqFws5jBWVhGjGHopQ_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/018hNqFws5jBWVhGjGHopQ_zoom_5___1_7.jpg,339,406,312,395
-vyPSHaOa9BsOUMKr0LVyg_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-vyPSHaOa9BsOUMKr0LVyg_zoom_5___1_7.jpg,205,248,252,297
-vyPSHaOa9BsOUMKr0LVyg_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-vyPSHaOa9BsOUMKr0LVyg_zoom_5___1_7.jpg,205,248,302,352
-QfAJlQqcM63hYiI_UzOJQ_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-QfAJlQqcM63hYiI_UzOJQ_zoom_5___1_7.jpg,775,852,213,298
-QfAJlQqcM63hYiI_UzOJQ_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-QfAJlQqcM63hYiI_UzOJQ_zoom_5___1_7.jpg,774,861,295,396
013i50G06EMgkm8U_qBLXw_zoom_5___1_4.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/013i50G06EMgkm8U_qBLXw_zoom_5___1_4.jpg,260,337,155,282
013i50G06EMgkm8U_qBLXw_zoom_5___1_4.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/013i50G06EMgkm8U_qBLXw_zoom_5___1_4.jpg,240,309,287,444
-K4k55AAmhTHLKN9ais4lg_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-K4k55AAmhTHLKN9ais4lg_zoom_5___1_7.jpg,257,286,265,305
-K4k55AAmhTHLKN9ais4lg_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-K4k55AAmhTHLKN9ais4lg_zoom_5___1_7.jpg,260,291,228,264
00iMlQdBBDPTe5hyHPN82A_zoom_5___1_5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/00iMlQdBBDPTe5hyHPN82A_zoom_5___1_5.jpg,529,610,250,382
00iMlQdBBDPTe5hyHPN82A_zoom_5___1_5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/00iMlQdBBDPTe5hyHPN82A_zoom_5___1_5.jpg,537,618,152,247
-yDqjQEJjUC5YpJnwgiZ5A_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-yDqjQEJjUC5YpJnwgiZ5A_zoom_5___1_7.jpg,630,658,351,384
-yDqjQEJjUC5YpJnwgiZ5A_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-yDqjQEJjUC5YpJnwgiZ5A_zoom_5___1_7.jpg,472,498,336,362
-yDqjQEJjUC5YpJnwgiZ5A_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-yDqjQEJjUC5YpJnwgiZ5A_zoom_5___1_7.jpg,176,211,313,353
-yDqjQEJjUC5YpJnwgiZ5A_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-yDqjQEJjUC5YpJnwgiZ5A_zoom_5___1_7.jpg,140,175,268,316
0TuobGMvb8yNC1fxtU2h-g_zoom_5___1_5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0TuobGMvb8yNC1fxtU2h-g_zoom_5___1_5.jpg,1011,1049,236,276
-S9B7i5O5Hl22_SQ76FcVg_zoom_5___1_2.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-S9B7i5O5Hl22_SQ76FcVg_zoom_5___1_2.jpg,797,826,284,313
-S9B7i5O5Hl22_SQ76FcVg_zoom_5___1_2.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-S9B7i5O5Hl22_SQ76FcVg_zoom_5___1_2.jpg,794,825,311,346
-b_mn7tdcZWH3ITedfLqjg_zoom_5___1_12.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-b_mn7tdcZWH3ITedfLqjg_zoom_5___1_12.jpg,352,390,368,406
00GrEhXxY3Qyss9rAdXwog_zoom_5___1_11.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/00GrEhXxY3Qyss9rAdXwog_zoom_5___1_11.jpg,75,154,79,233
00GrEhXxY3Qyss9rAdXwog_zoom_5___1_11.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/00GrEhXxY3Qyss9rAdXwog_zoom_5___1_11.jpg,79,148,227,407
-0W9BxSqIVY79ONBtUTXHQ_zoom_5___1_4.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-0W9BxSqIVY79ONBtUTXHQ_zoom_5___1_4.jpg,261,326,584,717
-U6P4V7AsypkFke2Rc85FA_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-U6P4V7AsypkFke2Rc85FA_zoom_5___1_7.jpg,601,688,175,290
-U6P4V7AsypkFke2Rc85FA_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-U6P4V7AsypkFke2Rc85FA_zoom_5___1_7.jpg,608,692,88,182
1MOf0x76euyhCEnr0Des2w_zoom_5___1_11.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/1MOf0x76euyhCEnr0Des2w_zoom_5___1_11.jpg,963,1048,198,310
1MOf0x76euyhCEnr0Des2w_zoom_5___1_11.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/1MOf0x76euyhCEnr0Des2w_zoom_5___1_11.jpg,963,1047,310,441
-h09QRijp6qSABghs-rfCg_zoom_5___1_5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-h09QRijp6qSABghs-rfCg_zoom_5___1_5.jpg,528,547,212,241
-h09QRijp6qSABghs-rfCg_zoom_5___1_5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-h09QRijp6qSABghs-rfCg_zoom_5___1_5.jpg,531,547,241,273
-h09QRijp6qSABghs-rfCg_zoom_5___1_5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-h09QRijp6qSABghs-rfCg_zoom_5___1_5.jpg,402,451,217,266
-h09QRijp6qSABghs-rfCg_zoom_5___1_5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-h09QRijp6qSABghs-rfCg_zoom_5___1_5.jpg,407,455,269,329
-YsKTTO43mTNrKkmQMPI2g_zoom_5___1_5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-YsKTTO43mTNrKkmQMPI2g_zoom_5___1_5.jpg,537,618,593,701
-YsKTTO43mTNrKkmQMPI2g_zoom_5___1_5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-YsKTTO43mTNrKkmQMPI2g_zoom_5___1_5.jpg,543,619,509,598
-omxpfANzAnxsP5pV8HwRg_zoom_5___1_2.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-omxpfANzAnxsP5pV8HwRg_zoom_5___1_2.jpg,230,408,458,642
-6FfTsrpL_A539x8evU5vQ_zoom_5___1_5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-6FfTsrpL_A539x8evU5vQ_zoom_5___1_5.jpg,911,949,312,357
-6FfTsrpL_A539x8evU5vQ_zoom_5___1_5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-6FfTsrpL_A539x8evU5vQ_zoom_5___1_5.jpg,916,949,270,311
07BlP9K9CYyEHeZpgbl54A_zoom_5___1_8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/07BlP9K9CYyEHeZpgbl54A_zoom_5___1_8.jpg,852,899,166,220
07BlP9K9CYyEHeZpgbl54A_zoom_5___1_8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/07BlP9K9CYyEHeZpgbl54A_zoom_5___1_8.jpg,849,899,216,270
-HTwhztV65JgABtbG8DppQ_zoom_5___1_8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-HTwhztV65JgABtbG8DppQ_zoom_5___1_8.jpg,443,503,236,316
-HTwhztV65JgABtbG8DppQ_zoom_5___1_8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-HTwhztV65JgABtbG8DppQ_zoom_5___1_8.jpg,442,517,313,391
0Uut9YRGED19vd_XhK17JA_zoom_5___1_11.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0Uut9YRGED19vd_XhK17JA_zoom_5___1_11.jpg,776,871,141,268
0Uut9YRGED19vd_XhK17JA_zoom_5___1_11.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0Uut9YRGED19vd_XhK17JA_zoom_5___1_11.jpg,751,865,266,419
-4HHinx7p2oPdgoWSMwZtQ_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-4HHinx7p2oPdgoWSMwZtQ_zoom_5___1_7.jpg,548,612,295,380
-4HHinx7p2oPdgoWSMwZtQ_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-4HHinx7p2oPdgoWSMwZtQ_zoom_5___1_7.jpg,550,615,221,295
-2nBDcxPR-177hwOb8-wfw_zoom_5___1_0.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-2nBDcxPR-177hwOb8-wfw_zoom_5___1_0.jpg,670,714,383,428
-2nBDcxPR-177hwOb8-wfw_zoom_5___1_0.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-2nBDcxPR-177hwOb8-wfw_zoom_5___1_0.jpg,668,713,425,480
0AxsM0uEPdEtIJ1QiRBqJg_zoom_5___1_1.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0AxsM0uEPdEtIJ1QiRBqJg_zoom_5___1_1.jpg,102,179,217,308
0AxsM0uEPdEtIJ1QiRBqJg_zoom_5___1_1.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0AxsM0uEPdEtIJ1QiRBqJg_zoom_5___1_1.jpg,101,184,303,410
-il7vPAmLAfh2AskCN_Xww_zoom_5___1_12.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-il7vPAmLAfh2AskCN_Xww_zoom_5___1_12.jpg,22,70,317,403
-il7vPAmLAfh2AskCN_Xww_zoom_5___1_12.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-il7vPAmLAfh2AskCN_Xww_zoom_5___1_12.jpg,11,68,250,318
-S9B7i5O5Hl22_SQ76FcVg_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-S9B7i5O5Hl22_SQ76FcVg_zoom_5___1_7.jpg,196,238,238,284
-S9B7i5O5Hl22_SQ76FcVg_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-S9B7i5O5Hl22_SQ76FcVg_zoom_5___1_7.jpg,193,236,285,340
--HkiWpne-y38vmJ1Ez33A_zoom_5___1_0.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/--HkiWpne-y38vmJ1Ez33A_zoom_5___1_0.jpg,684,745,302,367
0OlKxERSF8xo9EA4xV4ifw_zoom_5___1_4.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0OlKxERSF8xo9EA4xV4ifw_zoom_5___1_4.jpg,627,680,338,449
0IMi5ogg23DcbCnZEWyfUw_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0IMi5ogg23DcbCnZEWyfUw_zoom_5___1_7.jpg,528,570,331,379
0IMi5ogg23DcbCnZEWyfUw_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0IMi5ogg23DcbCnZEWyfUw_zoom_5___1_7.jpg,525,568,374,432
-HWVXFhyqW8QZ7JfwWW9Bg_zoom_5___1_0.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-HWVXFhyqW8QZ7JfwWW9Bg_zoom_5___1_0.jpg,696,758,235,302
-HWVXFhyqW8QZ7JfwWW9Bg_zoom_5___1_0.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-HWVXFhyqW8QZ7JfwWW9Bg_zoom_5___1_0.jpg,693,760,300,385
0QBZF4IfZitUrqDItZpjYQ_zoom_5___1_6.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0QBZF4IfZitUrqDItZpjYQ_zoom_5___1_6.jpg,37,77,412,453
-WEFQSNRxc_NXgKjiUtDpA_zoom_5___1_8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-WEFQSNRxc_NXgKjiUtDpA_zoom_5___1_8.jpg,402,471,295,393
0LJraCA795RYaNp9bNyzhg_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0LJraCA795RYaNp9bNyzhg_zoom_5___1_7.jpg,615,672,280,345
-s-8pLc2KnYslk1lc9Exng_zoom_5___1_1.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-s-8pLc2KnYslk1lc9Exng_zoom_5___1_1.jpg,970,1028,220,323
-s-8pLc2KnYslk1lc9Exng_zoom_5___1_1.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-s-8pLc2KnYslk1lc9Exng_zoom_5___1_1.jpg,965,1030,326,450
0SmnBSc0aiWAQR8u6As5aA_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0SmnBSc0aiWAQR8u6As5aA_zoom_5___1_7.jpg,526,609,257,360
0SmnBSc0aiWAQR8u6As5aA_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0SmnBSc0aiWAQR8u6As5aA_zoom_5___1_7.jpg,525,608,169,258
0lsj0zWV3K5vciOaLCu2tA_zoom_5___1_5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0lsj0zWV3K5vciOaLCu2tA_zoom_5___1_5.jpg,159,203,276,327
-G-V2woVL8S-1hjHoZaIAg_zoom_5___1_12.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-G-V2woVL8S-1hjHoZaIAg_zoom_5___1_12.jpg,367,439,309,386
-G-V2woVL8S-1hjHoZaIAg_zoom_5___1_12.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-G-V2woVL8S-1hjHoZaIAg_zoom_5___1_12.jpg,360,432,383,472
1AuXDFsjwm7Ti1Zxlf6mKQ_zoom_5___1_11.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/1AuXDFsjwm7Ti1Zxlf6mKQ_zoom_5___1_11.jpg,644,687,174,236
1AuXDFsjwm7Ti1Zxlf6mKQ_zoom_5___1_11.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/1AuXDFsjwm7Ti1Zxlf6mKQ_zoom_5___1_11.jpg,642,685,236,305
0s-yIPxnAUeKYtBeigjxXA_zoom_5___1_0.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0s-yIPxnAUeKYtBeigjxXA_zoom_5___1_0.jpg,710,763,407,465
0NfLtoV4QU7WWf7vZg1_tg_zoom_5___1_5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0NfLtoV4QU7WWf7vZg1_tg_zoom_5___1_5.jpg,286,323,310,352
0NfLtoV4QU7WWf7vZg1_tg_zoom_5___1_5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0NfLtoV4QU7WWf7vZg1_tg_zoom_5___1_5.jpg,290,326,355,413
0QBZF4IfZitUrqDItZpjYQ_zoom_5___1_12.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0QBZF4IfZitUrqDItZpjYQ_zoom_5___1_12.jpg,608,667,345,410
0QYc8jHaDHOxE4Ne42aL3w_zoom_5___1_11.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0QYc8jHaDHOxE4Ne42aL3w_zoom_5___1_11.jpg,523,686,314,615
-il7vPAmLAfh2AskCN_Xww_zoom_5___1_11.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-il7vPAmLAfh2AskCN_Xww_zoom_5___1_11.jpg,1010,1048,245,320
-il7vPAmLAfh2AskCN_Xww_zoom_5___1_11.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-il7vPAmLAfh2AskCN_Xww_zoom_5___1_11.jpg,1022,1048,318,404
0PqrYHigNAxqsF8mpvhk5Q_zoom_5___1_1.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0PqrYHigNAxqsF8mpvhk5Q_zoom_5___1_1.jpg,29,75,279,335
0PqrYHigNAxqsF8mpvhk5Q_zoom_5___1_1.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0PqrYHigNAxqsF8mpvhk5Q_zoom_5___1_1.jpg,27,77,339,404
0GZSmz0o0nEXZqI720P82g_zoom_5___1_5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0GZSmz0o0nEXZqI720P82g_zoom_5___1_5.jpg,122,176,469,549
0GZSmz0o0nEXZqI720P82g_zoom_5___1_5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0GZSmz0o0nEXZqI720P82g_zoom_5___1_5.jpg,720,799,474,568
